"locality","species_richness","gbif_records","latitude","longitude"
"antigua carretera a buenaventura - (3.528, -76.741)","6","38","3.528061","-76.7406"
"Vereda EL CASTILLO, predio LA ARBOLEDA","6","38","4.775806","-76.127694"
"763517, vía Cocuyos Ginebra CO-Valle Del Cauca 3.75997, -76.19448","6","44","3.759969","-76.19448"
"La Granjita-Calima Darién","6","45","3.955091","-76.47448"
"Jardín Botanico de Cali","6","52","3.449154","-76.56887"
"Muelle turístico de Buenaventura","6","52","3.888297","-77.07973"
"Parque del Ingenio","6","53","3.386789","-76.53044"
"Bosque de las Mercedes","6","56","3.545418","-76.28857"
"DMI Atuncela","6","58","3.716972","-76.683694"
"Osprey Ecolodge","6","65","3.900304","-76.339325"
"Dapa - Las Flechas, Yumbo, Valle del Cauca, Colombia","6","85","3.557178","-76.543785"
"Parque El Gato de Tejada","6","85","3.451351","-76.543015"
"La Buitrera, Valle del Cauca, CO (3.381, -76.568)","6","100","3.381202","-76.56799"
"Carretera Vda. Los Andes - Vda. La Alejandría","6","122","3.764051","-76.05808"
"Parque Multicentro--Ruta del Sirirí","6","159","3.379673","-76.540474"
"Cartago, Madrevieja la Zapata","6","230","4.757888","-75.92774"
"Laguna de Sonso","6","230","3.83996","-76.469278"
"Universidad del Valle","6","329","3.373942","-76.53441"
"Sendero, Bosque de Niebla (La Cumbre)","5","5","3.639294","-76.552536"
"Reserva Jurasico, Finca los Carboneros","5","5","3.552339","-76.6082"
"Reserva Forestal Protectora Nacional Quebrada La Valenzuela","5","5","4.00423","-76.16756"
"Reserva Forestal Protectora de Amaime","5","5","3.743056","-76.05722"
"CO-Valle Del Cauca-Cali (3,4896,-76,6167)","5","5","3.489623","-76.61665"
"Predio La Gitana","5","5","4.1671","-76.3365"
"Reserva Natural Mi Cafetal, Vereda El Piñuelo, El Cairo, Alban, Valle del Cauca, CO (4.775, -76.185)","5","5","4.774931","-76.18465"
"CO-Valle del Cauca-Dagua - 3,539x-76,619 - 22 feb. 2017 12:32 p. m.","5","5","3.539231","-76.619064"
"CO-Valle del Cauca-Dagua-Buenaventura - 3.534x-76.754","5","5","3.534298","-76.75369"
"Predio El Tabor, vereda Balcanes alto, municipio El Dovio","5","5","4.591709","-76.32298"
"CO-Valle del Cauca-Dagua-Cali - Dagua - 3,517x-76,621","5","5","3.517446","-76.620926"
"CO-Valle del Cauca-Dagua-Buenaventura - 3.554x-76.718","5","5","3.554184","-76.7183"
"CO-Valle Del Cauca-Santiago De Cali","5","5","3.4901","-76.61611"
"Finca Rosita","5","5","3.50926","-76.62328"
"CO-Valle Del Cauca-Santiago de Cali - 3,5391x-76,6059 - 30/05/2016 12:55 p.m.","5","5","3.539123","-76.60587"
"13-124 Calle 3 Oeste, Cali, Valle del Cauca, CO (3.444, -76.543)","5","5","3.443917","-76.54276"
"Estación biológica Icesi - Farallones","5","5","3.441844","-76.66267"
"restaurante la Cabana","5","5","3.504731","-76.61882"
"Restaurante La Cabaña","5","5","3.503655","-76.61874"
"Enclave Xerofitico De Dagua","5","5","3.66","-76.690002"
"Club de Caza y Pesca, Caicedonia, Valle del Cauca, Co","5","5","4.332913","-75.82711"
"Ridge above El Salado town - 1.730m - CO-Valle Del Cauca-Dagua - 3.5583x-76.7334 - Feb 13, 2017, 08:01","5","5","3.558266","-76.733376"
"Alto AnchicayÃ¡--Puente","5","5","3.60661","-76.87972"
"Rio Anchicaya","5","5","3.654706","-77.00365"
"Via Dapa a Alto de los españoles","5","5","3.553021","-76.58515"
"Embajada de Ginebra (Km 18)","5","5","3.507852","-76.62017"
"760530, Darién CO-Valle Del Cauca 3.94426, -76.49135","5","5","3.944255","-76.49135"
"el vinculo","5","5","3.825547","-76.30039"
"El Tablazo","5","5","3.609314","-76.71605"
"Alto anchicaya sector Dora - Bogota Birding","5","5","3.533845","-76.752205"
"El Robledal","5","5","3.554319","-76.617096"
"Hacienda La Arboleda","5","5","4.352325","-75.85443"
"28 jun. 2020 8:24 a. m.-3.368, -76.597","5","5","3.367978","-76.59696"
"9 may. 2020 8:05 p. m.-3,551, -76,577","5","5","3.55119","-76.57703"
"Chorro de Plata, La Voragine, Valle del Cauca, CO (3.344, -76.597)","5","5","3.344096","-76.59729"
"29 jun. 2020 1:57 p. m.-3,746, -76,484","5","5","3.746338","-76.48386"
"Pichinde --Yanaconas","5","5","3.433333","-76.61667"
"Vereda Villa Rosa, Finca La Hacienda, Punto de censo 5","5","5","4.825278","-76.146111"
"el pailon","5","5","3.711639","-76.07522"
"Auto selected 3.52206, -76.52712","5","5","3.522064","-76.52712"
"Chicoral-Dapa 1900-2100 mts/SNM ,valle del Cauca","5","5","3.570261","-76.59423"
"Bosque La Tigra","5","5","3.49827","-76.63706"
"Road And Trail Near Dona Dora, Valle del Cauca, CO (3.534, -76.752)","5","5","3.534018","-76.75175"
"El Madrigal - Valle","5","5","3.3083","-76.5583"
"Vereda Tableros.","5","5","3.8568","-76.55327"
"Cerro Azul, Trujillo, Valle del Cauca, CO (4.275, -76.282)","5","5","4.274864","-76.28218"
"Brasito, Buenaventura","5","5","3.75358","-77.0829"
"Centro Forestal Tropical UT, Bajo Calima","5","5","4.078597","-77.03542"
"Buenaventura, Valle del Cauca, Casa Doña Dora","5","5","3.534363","-76.753456"
"Km 18/Via La Elvira, Valle del Cauca, CO (3.517, -76.621)","5","5","3.517447","-76.620834"
"km 55 ""Doña Dora""","5","5","3.525843","-76.73602"
"Colombia, Valle, Cali, Los Andes-Pichinde, Peñas Blancas","5","5","3.436283","-76.64092"
"El Descanso Doña Dora, Valle del Cauca, CO (3.535, -76.752)","5","5","3.534822","-76.75248"
"Colombia, Valle, Dagua, Km. 18, Bosque de Niebla, Finca Alejandría ""El Paraíso de los Colibríes""","5","5","3.538807","-76.606316"
"(3.897, -76.179) Casa Lago.la Habana.buga Valle","5","5","3.897097","-76.17904"
"Finca El Guaico, Valle del Cauca, CO (3.324, -76.177)","5","5","3.323617","-76.176636"
"Cascada La Milagrosa, Valle del Cauca, CO (3.877, -76.174)","5","5","3.877473","-76.17387"
"Parque Nacional de la Uva. La Unión Valle","5","5","4.529622","-76.087204"
"Vereda El Paraiso, Finca La Delia, Punto de censo 8","5","5","4.731944","-75.819167"
"Vereda El Paraiso, Finca La Delia, Punto de censo 2","5","5","4.731944","-75.819167"
"Vereda El Paraiso, Finca La Delia, Punto de censo 15","5","5","4.7225","-75.820833"
"Vereda El Paraiso, Finca La Delia, Punto de censo 10","5","5","4.704722","-75.815"
"sendero orgánico global big day","5","5","3.625645","-76.59267"
"Vereda El Pacífico-El CAIRO","5","5","4.822042","-76.17644"
"El Campanario, vereda Buenos Aires, municipio San Pedro","5","5","3.93427","-76.178635"
"Vereda El Descanso Buenaventura, Valle del Cauca, CO (3.535, -76.754)","5","5","3.534736","-76.75355"
"Cristalina","5","5","4.010861","-76.47628"
"avistamiento De Aves Doña Dora - Km 55","5","5","3.858614","-76.548935"
"Finca La Florida , Valle del Cauca, CO (3.526, -76.616)","5","5","3.52634","-76.616165"
"Finca Galaica","5","5","3.470973","-76.17116"
"Cali - Dagua, Valle del Cauca, CO (3.528, -76.617)","5","5","3.528253","-76.61718"
"Finca El tesoro, Vereda Alta Cristalina","5","5","4.008777","-76.480804"
"Parque de la Uva","5","5","4.529848","-76.08798"
"Carretera Vía Ala Cascada , CO (3.619, -76.907)","5","5","3.619438","-76.9072"
"La Neura","5","5","3.297556","-76.63719"
"La Paz - El 18, Cali CO-Valle Del Cauca 3.53933, -76.60601","5","5","3.539331","-76.60601"
"La ventura, Cerrito adentro, bello horizonte, Pie de monte","5","5","3.639355","-76.18108"
"Calle 10 3-66, Alcalá CO-Quindío 4.67683, -75.77666","5","5","4.676827","-75.77666"
"Carretera arriba de Tenerife --- Puente","5","5","3.756012","-76.06557"
"Turisteando en Atuncela","5","5","3.73119","-76.67649"
"Laguna - De Sonso","5","5","4.247303","-76.114683"
"Yerbabuena","5","5","3.625943","-76.59269"
"Valle del Cauca, CO (3.613, -76.929)","5","5","3.612664","-76.92886"
"Old Buenaventura Road: El Danubio to Agua Clara (3.6376, -76.9455)","5","5","3.6376","-76.9455"
"Finca Chambilbal, Ginebra","5","5","3.729448","-76.22499"
"Old Buenaventura road km 72 (3.591, -76.811)","5","5","3.591337","-76.81116"
"Old Buenaventura Road -Km 55 to 90","5","5","3.595503","-76.78872"
"3.5349x-76.7535 - Mar 14, 2016, 9:00 AM","5","5","3.534918","-76.75347"
"Localidad desconocida - (3,793, -76,991)","5","5","3.79297","-76.99095"
"(3.492, -76.628)","5","5","3.491519","-76.62817"
"Localidad desconocida - (3.848, -76.798)","5","5","3.848161","-76.79803"
"Valle del Cauca, CO (3,491, -76,628)","5","5","3.49133","-76.62814"
"Valle del Cauca, CO (3,374, -76,617)","5","5","3.374017","-76.61652"
"Localidad Desconocida - 3.612x-76.895 - 5 ene. 2017 06:54","5","5","3.612383","-76.89503"
"Valle del Cauca Anchicaya,CO (3,594, -76,841)","5","5","3.593803","-76.84136"
"Dagua, Valle Del Cauca, Dagua CO-Valle Del Cauca (3.5279,-76.7155)","5","5","3.527903","-76.71553"
"alejandria","5","5","3.539495","-76.60323"
"Unnamed Road, Valle del Cauca, CO (4.832, -76.184)","5","5","4.832289","-76.18362"
"Unnamed Road, Valle del Cauca, CO (4.815, -76.175)","5","5","4.814869","-76.17511"
"Unnamed Road, Fenicia, Valle del Cauca, CO (4,072, -76,387)","5","5","4.072494","-76.38726"
"Monteloro","5","5","3.971421","-76.03503"
"Unnamed Road, Valle del Cauca, CO (3.631, -76.583)","5","5","3.635863","-76.57145"
"Camino Paramo de las Dominguez","5","5","3.760046","-76.064255"
"Vereda La Palmera, RN Río Bravo","5","6","3.905616","-76.60462"
"Casa Ahsraya Cali - Dagua, Valle del Cauca, CO (3.504, -76.616)","5","6","3.503708","-76.615715"
"(3,593, -76,836) Dagua Valle Anchicaya parte media.","5","6","3.593328","-76.83634"
"Kantu, CO-Valle Del Cauca-Santiago De Cali (3.4487,-76.6216)","5","6","3.448685","-76.62163"
"Ecoparque Los Pizamos","5","6","3.438795","-76.48215"
"Carretera vieja a Buenaventura Km 80-115","5","6","3.791548","-76.990265"
"corregimiento el saladito - familia Wagner W","5","6","3.482466","-76.605804"
"Unnamed Road, Darién, Valle del Cauca, CO (3.939, -76.493)","5","6","3.938993","-76.49258"
"Quebrada Micos","5","6","3.926733","-76.676403"
"Calima, borde bosque","5","6","3.899743","-76.55292"
"Vereda Pinares, Finca El palcer, Punto de censo 10","5","6","4.656944","-75.943056"
"Acueducto","5","6","4.82677","-76.17895"
"laguna de sonso","5","6","3.724457","-76.34729"
"Casa de Zinc area, SE of Sevilla","5","6","4.2225","-75.8935"
"Hacienda Formosa","5","6","4.769929","-76.0822"
"La Reina, Villacarmelo, Valle del Cauca, CO (3.385, -76.627)","5","6","3.384604","-76.62663"
"Laguna Sonsa","5","6","3.850209","-76.33055"
"Reserva Ecologica Kantu","5","7","3.448626","-76.62172"
"Km 14 sobre el pueblo de Tenerife","5","7","3.727664","-76.078416"
"Vía sin nombre, Valle del Cauca, CO (3.45, -76.619) Cajita Alta","5","7","3.45019","-76.61869"
"Unnamed Road, Atuncela, Valle del Cauca, CO (3.736, -76.679)","5","7","3.736457","-76.67852"
"Valle del Cauca, CO (3.487, -76.216)","5","7","3.487151","-76.21555"
"(3.5887,-76.8240)","5","7","3.588678","-76.82404"
"Cabina Reserva el Paraíso","5","7","3.629429","-76.83442"
"La pema piedras","5","7","3.765193","-76.93535"
"El Cairo Reserva Natural Altomira","5","7","4.713645","-76.23598"
"El Danubio","5","7","3.594487","-76.8944"
"san Cipriano","5","7","3.837862","-76.897446"
"Vereda El Cauchal","5","7","3.604434","-76.859985"
"Sector el Verge La Elviral, Valle del Cauca, CO (3.524, -76.59)","5","7","3.523773","-76.5895"
"Yanaconas","5","7","3.417715","-76.607185"
"Villa Luz","5","7","3.546775","-76.61523"
"Embalse Calima, Entrada 5","5","7","3.910513","-76.48839"
"Sendero de las aves (Pavas)","5","7","3.679519","-76.58774"
"Ruta Calima Darien, Valle del Cauca, CO (3.946, -76.46)","5","7","3.945501","-76.45987"
"Río Agua Sucia, Cajambre, subiendo margen derecha frente a cerro caja","5","8","3.379056","-77.119597"
"Parque Nacional De La Uva","5","8","4.52941","-76.08687"
"San José Del Palmar Choco, CO (4,833, -76,182)","5","8","4.833026","-76.18237"
"Along The Road, Valle del Cauca, CO (3.529, -76.614)","5","8","3.529283","-76.613914"
"Universidad del Valle sede Meléndez","5","8","3.37472","-76.533096"
"Road with lodges. La Paz - El 18, Cali CO-Valle del Cauca (3.5318,-76.6111)","5","8","3.531847","-76.61115"
"Bajo Calima, Quebrada Ordóñez","5","8","4.075468","-76.96683"
"Reserva Natural Nirvana, Valle del Cauca, CO (3.475, -76.19)","5","8","3.475276","-76.19039"
"Felida Valle del Cauca Colombia","5","8","3.4667","-76.6167"
"Auto selected 4.71505, -75.77768 Villa Del Carmen Nature Camp","5","8","4.715047","-75.77768"
"Villacarmelo, Valle del Cauca, CO (3.383, -76.618)","5","8","3.383109","-76.618"
"Tocotá","5","8","3.510714","-76.647385"
"La Estrella - Casa de Doña Norma","5","8","3.971541","-77.04184"
"ecoparque del embudo","5","8","3.345168","-76.552956"
"Conjunto Residencial Altos de Arboleda","5","8","3.447949","-76.55046"
"Parque Ecológico Miravalle","5","9","3.259399","-76.59385"
"Finca Sierra Morena","5","9","4.39221","-75.81348"
"Alojamiento Campestre Mahayana","5","9","3.550124","-76.573586"
"Casa Ashraya, Refugio De Aves","5","9","3.503644","-76.617004"
"La Cruz, Darién CO-Valle Del Cauca 3.92442, -76.51221","5","9","3.924416","-76.512215"
"Topaz Colibri","5","9","4.526856","-76.09054"
"Vereda el Vínculo, Parque Nacional Regional El Vínculo","5","9","3.834001","-76.296872"
"Ecoparque Aguacatal, Terrón Colorado","5","9","3.461662","-76.588505"
"San Antonio, cerro de La Horqueta","5","9","3.483286","-76.650093"
"Finca Angie Vanegas","5","9","3.420025","-76.60596"
"Colegio Americano","5","9","3.378472","-76.544846"
"Via Chicoral - Dapa","5","10","3.569226","-76.577736"
"Buitrera Cali (pueblo)","5","10","3.38268","-76.57638"
"El Encanto granja y hostal de montaña (3.827, -76.026)","5","10","3.827415","-76.02641"
"CO-Valle Del Cauca-Cali (3,5281,-76,6171)","5","10","3.527171","-76.61715"
"Unknown Location - (3.44, -76.664)","5","10","3.440001","-76.66383"
"Vía Medio Dapa - E.L.","5","10","3.56138","-76.53935"
"Vereda Pichinde, La esmeralda","5","10","3.446694","-76.631528"
"Finca La Marina","5","10","4.876396","-76.01637"
"Primavera Reserve 2200m elevation","5","10","4.78432","-76.1478"
"CO-Valle Del Cauca-Santiago de Cali - 3,5677x-76,6084 - 25/02/2017, 14:29 - Finca La Chacona","5","10","3.567664","-76.60845"
"Mauricio Gonzales","5","10","3.487466","-76.63079"
"(3.3742,-76.6203)","5","10","3.37422","-76.620346"
"KM 18 Rd.","5","10","3.536026","-76.607414"
"La Hondura","5","10","4.525747","-76.27213"
"(3.771, -76.056)","5","10","3.771471","-76.05562"
"Parque De La Uva","5","10","4.527004","-76.09078"
"Km 55 - old road Cali-Bonaventura","5","10","3.5236","-76.727"
"(3,7903,-76,9879)","5","10","3.790303","-76.98792"
"11 oct. 2020 12:12 p. m.-3.572, -76.216","5","10","3.572074","-76.21631"
"Cali - Dagua, Valle del Cauca, CO (3,482, -76,606)","5","10","3.482411","-76.60574"
"Finca El Renacer","5","10","3.108","-76.613056"
"La Choza 2","5","10","3.63532","-76.83664"
"Campamento minas del Socorro","5","10","3.401754","-76.683716"
"Valle del Cauca, CO (4.537, -76.273)","5","10","4.537171","-76.27261"
"(3.6207,-76.9049)","5","10","3.620657","-76.90492"
"Restaurant (3.5078x-76.6201)","5","10","3.507839","-76.62012"
"Reserva natural Río Bravo","5","10","3.881695","-76.56213"
"RNM Pb (3,6308,-76,1959)","5","10","3.630752","-76.19592"
"Unnamed Road, Valle del Cauca, CO (3.573, -76.569)","5","10","3.572969","-76.56912"
"Bosques La Cumbre","5","10","3.639278","-76.55271"
"Finca El Porvenir","5","10","3.542704","-76.59635"
"Bosque De San Antonio, Valle del Cauca, CO (3.484, -76.611)","5","10","3.484335","-76.61111"
"Reserva Natural Altomira","5","10","4.728459","-76.24252"
"Parque Trinagular, carrera 29 con 5B (3.432, -76.54)","5","10","3.431993","-76.53982"
"Villa Pension Dapa, Valle del Cauca, CO (3.547, -76.584)","5","10","3.547284","-76.58363"
"Localidad desconocida - (3.758, -76.091)","5","10","3.758089","-76.09148"
"Reserva Natural La Argentina","5","10","4.707833","-76.21372"
"Localidad desconocida - (4.536, -76.278)","5","10","4.53606","-76.27765"
"(3.5234,-76.6174)","5","10","3.523407","-76.61743"
"Finca Esmeralda - Vereda Campo Azul","5","10","4.254561","-75.829445"
"Predio La Cabaña, vereda El Placer, Corregimiento de Montañitas","5","10","3.642584","-76.52324"
"Via a la finca Zingara, km 18","5","10","3.533653","-76.60982"
"3.5740 X -76.6199","5","10","3.57398","-76.61991"
"Predio Los Guacimos","5","11","4.4435","-75.9299"
"El Porvenir","5","11","4.735059","-76.21285"
"Agua clara(Río,lago, carretera)","5","11","3.50404","-76.23349"
"Finca La Grecia, Guaqueros, San Pedro, Valle del Cauca","5","11","3.94938","-76.19479"
"Callejón de la Balastrera, Valle del Cauca, CO (3.594, -76.2)","5","11","3.594345","-76.200325"
"Unnamed Road, Valle del Cauca, CO (3,747, -76,484)","5","11","3.746627","-76.48382"
"Sendero A Las Musgueras Verdad El pato Valle del Cauca, CO (3.442, -76.673)","5","11","3.442052","-76.67276"
"Colegio Tecnico Industrial Multiproposito--Corredor La Manga","5","11","3.411709","-76.56181"
"Finca Los Guacimos","5","11","4.443593","-75.93242"
"Alto Anchicayá - Carros Viejos","5","12","3.526537","-76.73409"
"Mirador de los vientos - Samaria Caicedonia","5","12","4.270291","-75.875374"
"Parque Nacional Natural Farallones de Cali, Alto del Buey","5","12","3.394814","-76.649242"
"Via a Montegrande, Valle del Cauca, CO (4,382, -75,809)","5","12","4.381726","-75.809044"
"casa Villa Eugenia, Cali, Valle del Cauca, CO (3,444, -76,555)","5","12","3.443989","-76.5552"
"Finca Cajamarquita","5","12","4.352097","-76.352255"
"La Hacienda","5","12","3.39511","-76.82266"
"Cooperativa Lomalarga, núcleo C, Valle del Cauca, CO (3,312, -76,575)","5","13","3.312101","-76.57476"
"(3.8862,-76.1369)","5","13","3.88619","-76.13692"
"La Cascada","5","13","3.570055","-76.930595"
"100A-138 Calle 16, Cali, Valle del Cauca, CO (3,366, -76,531)","5","13","3.365534","-76.53105"
"1-60 Carrera 54, Cali, Valle del Cauca, CO (3.412, -76.554)","5","13","3.41204","-76.55386"
"San Antonio cloud forest","5","14","3.488616","-76.62712"
"Parque Puente Cr 49 Calle 10","5","14","3.412078","-76.537575"
"Condominio Las Mercedes","5","14","3.260749","-76.566895"
"El Otoño (3.369, -76.609)","5","14","3.368704","-76.60851"
"PN de Las Hermosas","5","14","3.711392","-75.96927"
"El Zafiro","5","15","4.76375","-76.194725"
"Valle del Cauca, CO (3.628, -76.166) Apiario A Puerta Bello Horizonte Madhú","5","15","3.627746","-76.16552"
"Vía Buenos Aires, Valle del Cauca,","5","15","3.929703","-76.173805"
"760528, Dagua CO-Valle Del Cauca 3.73256, -76.67687","5","15","3.732561","-76.67687"
"Valle del Cauca, CO (3.625, -76.548)","5","15","3.624997","-76.54834"
"conjunto residencial Mont Bre","5","15","3.443085","-76.55421"
"Cali - Dagua, Valle del Cauca, CO (3,528, -76,617)","5","15","3.528432","-76.61717"
"Barrio Libertadores-Cali","5","15","3.441298","-76.54233"
"4.81x-76.172 - Oct 11, 2016 10:56","5","15","4.810464","-76.17192"
"Tamauka Trujillo Valle del Cauca, CO (4.226, -76.345)","5","15","4.22566","-76.34474"
"Reserva Forestal La Cumbre (Sector Cabaña)","5","16","3.637806","-76.57141"
"La Primavera","5","16","3.90615","-76.21186"
"Vereda LA GALANA, predio LA GALANA","5","16","4.891417","-76.023139"
"La Felicidad","5","16","3.906476","-76.20677"
"Valle del Cauca, CO (3,884, -76,439) Hotel Mirador De Calima","5","16","3.883611","-76.43928"
"Auto selected 3.52195, -76.52695","5","17","3.521949","-76.52695"
"CO-Valle Del Cauca-Buenaventura (3.7850,-76.9866)","5","17","3.784974","-76.98661"
"Edificio Monterosso","5","18","3.358272","-76.53502"
"Valle del Cauca, CO (3.613, -76.888)","5","18","3.612702","-76.88833"
"Parque Nacional de la Uva, Valle del Cauca","5","18","4.529731","-76.087364"
"Valle del Cauca, CO (3.633, -76.942)","5","19","3.6327","-76.94187"
"Barrio Pasoancho a balneario La Paya","5","19","4.530112","-76.13494"
"Unnamed Road, Valle del Cauca, CO (3.627, -76.544)","5","19","3.627271","-76.54374"
"Puente Los Patos","5","19","3.613912","-76.12454"
"Alrededores aeropuerto de Buenaventura","5","20","3.82059","-76.99999"
"Parque de la Uva. CO-Valle del Cauca-La Unión-La Victoria-La Unión - 4.53x-76.088","5","20","4.529577","-76.08762"
"Galicia","5","20","4.16026","-76.058806"
"Finca La Dicha","5","21","3.59586","-76.61025"
"Vía Antigua A Buenaventura De Aguaclara A Chorrera","5","21","3.643303","-76.9421"
"Colombia, Valle, Cali (Lili)","5","21","3.364311","-76.511566"
"Vereda Chicoral, Corregimiento de Bitaco, Finca Montebello","5","22","3.565833","-76.588611"
"Conjunto residencial Mont Bre","5","22","3.443363","-76.55413"
"La Chorrera - waterfall falling on the road below El Danubio (43km below Queremal) - 468m - 3.6232x-76.9285 - Feb 14, 2017, 12:56","5","23","3.623225","-76.92852"
"Lago Palermo, Caicedonia, Valle del Cauca, CO (4,391, -75,866)","5","23","4.39084","-75.86592"
"Antigua Via A Buenaventura, Valle del Cauca, CO (3,529, -76,744)","5","25","3.52856","-76.74358"
"Entrada 3 Parque De La Salud, Pance, Valle del Cauca, CO (3.346, -76.572)","5","25","3.346065","-76.57163"
"Vereda EL RAIZAL, predio VARIOS","5","25","4.7445","-76.139194"
"Javeriana Cali","5","26","3.348575","-76.5325"
"RN Loma Larga (3.316, -76.578)","5","26","3.316293","-76.57794"
"Yumbillo","5","26","3.586494","-76.5592"
"FODUN Tablones, CO-Valle Del Cauca 3.59691, -76.20137","5","27","3.596914","-76.20137"
"Búnker de Cerro Mosquito (ANC)","5","27","3.575719","-76.877785"
"Universidad Icesi","5","27","3.34166","-76.53063"
"31 - Reserva Madhu, Valle del Cauca, CO (3.588, -76.207)","5","28","3.587624","-76.20681"
"condominio campestre senderos de verde horizonte","5","29","3.274438","-76.5874"
"Vereda Puerta Negra, Restrepo, Valle del Cauca","5","30","3.853654","-76.57332"
"PNN Uramba-Bahia Malaga. Sector Miramar","5","30","3.988318","-77.24662"
"Rufous-crowned antpitta","5","30","3.571498","-76.88069"
"Apto MontBre en Bellavista","5","31","3.442922","-76.55404"
"5 Camino a las Colinas, Valle del Cauca, CO (3.372, -76.566)","5","32","3.372353","-76.56622"
"Callejón Tabares, Valle del Cauca, CO (3.38, -76.574)","5","34","3.380018","-76.573906"
"Scarlet-thighed Dacnis","5","37","3.575719","-76.877785"
"Quebrada La Loca (ANC)","5","41","3.571498","-76.88069"
"Humedal Parcelación La Riverita","5","49","3.359268","-76.55738"
"DRMI RUT Nativos, Vereda La Chica","5","49","4.584083","-76.118667"
"Centro Internacional de Agricultura Tropical--Palmira","5","53","3.500485","-76.349335"
"Parque Nacional de la Uva","5","53","4.52911","-76.08927"
"Humedal Chiquique","5","56","3.835656","-76.38429"
"Vereda El Porvenir (Carretera Mediacanoa-Buga)","5","58","3.890721","-76.344284"
"Parque el Oasis de las Mercedes 3.54921, -76.28740","5","82","3.54941","-76.28721"
"Destapado 1–45, Palmira CO-Valle Del Cauca (3.6264,-76.2225)","5","101","3.626398","-76.22247"
"Ecoparque Bataclán","5","139","3.470114","-76.54164"
"Casa Pomarrosa","5","139","3.383752","-76.57083"
"Haciendas de Potrerito","5","163","3.214504","-76.59505"
"Edificio Antofagasta","5","266","3.433184","-76.54574"
"760008, Finca Bello Horizonte Cali CO-Valle Del Cauca 3.49101, -76.61531","4","4","3.491011","-76.6153"
"Unnamed Road, Valle del Cauca, CO (3.503, -76.583)","4","4","3.503165","-76.58314"
"Unnamed Road, Valle del Cauca, CO (3.635, -76.578)","4","4","3.635243","-76.578415"
"Miraflores","4","4","3.833361","-76.215778"
"Camino Cerro Calima","4","4","4.054226","-76.48553"
"Unnamed Road, Valle del Cauca, CO (3.736, -76.684)","4","4","3.736214","-76.68376"
"Unnamed Road, Valle del Cauca, CO (3.252, -76.65)","4","4","3.252358","-76.64955"
"Los Nacimientos","4","4","3.36225","-76.61118"
"Predio La Sierra, correg. Carbonera, municipio Vijes","4","4","3.737984","-76.453514"
"Canta claro","4","4","3.389925","-76.584366"
"alrededores de La Cumbre","4","4","3.639849","-76.58238"
"Unnamed Road, Valle del Cauca, CO (3,738, -76,488)","4","4","3.737515","-76.4879"
"Unnamed Road, Valle del Cauca, CO (3.926, -76.512)","4","4","3.925908","-76.511856"
"Unnamed Road, Valle del Cauca, CO (3,564, -76,569)","4","4","3.564451","-76.569"
"Unnamed Road, Valle del Cauca, CO (4,387, -75,902)","4","4","4.386882","-75.90234"
"(3.6105,-76.8941)","4","4","3.610506","-76.89406"
"Unnamed Road, Valle del Cauca, CO (3,319, -76,637)","4","4","3.318589","-76.63678"
"Cañasgordas","4","4","3.3225","-76.5319"
"Cañasgordas, Cali (casa Dr Juan José Arango y alrededor)","4","4","3.322","-76.532"
"31 - Ginebra, Valle del Cauca, CO (3.488, -76.214)","4","4","3.488155","-76.213615"
"Dani y Sol finca","4","4","3.959005","-76.50593"
"Valle del Cauca, CO (3,472, -76,19)","4","4","3.471698","-76.189674"
"Alrededores de La Cumbre","4","4","3.653626","-76.57205"
"Valle del Cauca, CO (3.425, -76.616)","4","4","3.424537","-76.61648"
"(3.4912,-76.6282)","4","4","3.491214","-76.62821"
"Valle del Cauca, CO (3.514, -76.609) Posada Del Aguila","4","4","3.514053","-76.60872"
"Unknown Location - (3.534, -76.752)","4","4","3.534034","-76.7522"
"Unknown Location - (3.525, -76.618)","4","4","3.524605","-76.6179"
"Valle del Cauca, CO (3.593, -76.836)","4","4","3.593324","-76.836296"
"Carrera 5# 6-29 Pajareando desde el patio de la casa","4","4","4.761622","-76.22212"
"universidad san buenaventura","4","4","3.344351","-76.5439"
"Valle del Cauca, CO (3.625, -76.222)","4","4","3.624742","-76.222466"
"Universidad Autónoma De Occidente","4","4","3.353376","-76.5211"
"Corredor Del Lili","4","4","3.25584","-76.550934"
"Universidad Autónoma de Occidente","4","4","3.353956","-76.52233"
"Carretera arriba de Tenerife --- Almerzo y Cañon","4","4","3.764714","-76.05853"
"La Voragine, Av. Los Cerros Vía La Voragine","4","4","3.34459","-76.58964"
"Tuluá Cienegueta, Valle del Cauca, CO (4.07, -76.19)","4","4","4.069756","-76.190414"
"Consejo Comunitario de Amazonas","4","4","3.737944","-77.04383"
"Eco Hotel Hacienda El Diamante","4","4","3.893861","-76.22728"
"Carretera El Danubio al Descanso","4","4","3.587865","-76.82836"
"La Palma, Tenerife","4","4","3.699733","-76.085175"
"Transecto Albán-Las Margaritas","4","4","4.777446","-76.1778"
"Cali, Valle del Cauca, CO (3,447, -76,551)","4","4","3.446569","-76.55059"
"Valle del Cauca, CO Sendero Camino Al Cielo","4","4","3.428985","-76.662155"
"La Minga, Valle del Cauca","4","4","3.566111","-76.585"
"Toche","4","4","3.62432","-76.08655"
"La Magdalena, Valle del Cauca, CO (3.881, -76.205)","4","4","3.880975","-76.20456"
"Páramos de Barragán y Santa Lucía","4","4","3.973946","-75.90893"
